Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
CUARTA,2022-01-03,AMU,MU,CONTRERAS,MUNITA,AETCHEBERRY,feriado,,,
TERCERA,2022-01-03,CARROZA,ALETELIER,MATUS,ALCALDE,ABENAVIDES,subroga,,,
SEGUNDA,2022-01-03,LLANOS,BIEL,MERA,ATAVOLARI,ABUAUAD,feriado,subroga,,
PRIMERA,2022-01-03,PRADO,, SILVA,, MU,feriado,subroga,,
CUARTA,2022-01-04,AMU,MATUS,CONTRERAS,MUNITA,ACOPPO,feriado,,,
TERCERA,2022-01-04,MU,CARROZA,VAZQUEZ,ALCALDE,HUMERES,,,,
SEGUNDA,2022-01-04,LLANOS,ALETELIER,BIEL,MERA,ATAVOLARI,feriado,subroga,,
PRIMERA,2022-01-04,AREPETTO,MU,GOMEZ,AGAJARDO,FUENTES,permiso,feriado,,
CUARTA,2022-01-06,AMU,GOMEZ,CONTRERAS,ALCALDE,FUENTES,feriado,,,
TERCERA,2022-01-06,MU,CARROZA,MERA,ACOPPO,RUZ,feriado,,,
SEGUNDA,2022-01-06,ALETELIER,BIEL,VAZQUEZ,AGAJARDO,ATAVOLARI,feriado,,,
PRIMERA,2022-01-06,SILVA,SILVA,AREPETTO,MU,MUNITA,feriado,subroga,,
SEGUNDA,2022-01-07,LLANOS,BIEL,MERA,VAZQUEZ,AGAJARDO,feriado,,,
PRIMERA,2022-01-07,SILVA,SILVA,AREPETTO,MU,MUNITA,feriado,subroga,,
CUARTA,2022-01-12,ACHEVESICH,AMU,CONTRERAS,AGAJARDO,AETCHEBERRY,,,,
TERCERA,2022-01-12,MU,CARROZA,MATUS,MUNITA,AGUILA,feriado,,,
SEGUNDA,2022-01-12,LLANOS,BIEL,MERA,VAZQUEZ,ATAVOLARI,comisi ón,feriado,,
PRIMERA,2022-01-12,SILVA,SILVA,MU,GOMEZ,FUENTES,permiso,feriado,,
PRIMERA,2022-01-17,SILVA,SILVA,AREPETTO,GOMEZ,MERA,feriado,subroga,,
SEGUNDA,2022-01-17,ALETELIER,BIEL,MU,VAZQUEZ,ATAVOLARI,permiso,feriado,,
TERCERA,2022-01-17,MU,AVIVANCO,CARROZA,MATUS,ABENAVIDES,,,,
PRIMERA,2022-01-10,SILVA,SILVA,AREPETTO,GOMEZ,ALCALDE,feriado,,,
SEGUNDA,2022-01-10,LLANOS,BIEL,VAZQUEZ,MUNITA,RUZ,comisi ón,feriado,,
TERCERA,2022-01-10,MU,MATUS,MU,MERA,AGUILA,permiso,feriado,,
CUARTA,2022-01-10,ACHEVESICH,AMU,CONTRERAS,AGAJARDO,ACOPPO,,,,
PRIMERA,2022-01-11,SILVA,SILVA,AREPETTO,MU,GOMEZ,feriado,,,
SEGUNDA,2022-01-11,LLANOS,MERA,VAZQUEZ,AGAJARDO,ATAVOLARI,comisi ón,feriado,,
TERCERA,2022-01-11,MU,CARROZA,MATUS,MUNITA,AGUILA,feriado,,,
CUARTA,2022-01-11,ACHEVESICH,AMU,BIEL,CONTRERAS,AETCHEBERRY,,,,
PRIMERA,2022-01-13,SILVA,AREPETTO,MU,GOMEZ,MUNITA,permiso,feriado,,
SEGUNDA,2022-01-13,LLANOS,BIEL,VAZQUEZ,ATAVOLARI,ACOPPO,comisi ón,feriado,subroga,
TERCERA,2022-01-13,MU,CARROZA,MATUS,AGUILA,ABENAVIDES,feriado,,,
CUARTA,2022-01-13,AMU,MERA,CONTRERAS,RUZ,AETCHEBERRY,,,,
PRIMERA,2022-01-14,SILVA,AREPETTO,MU,GOMEZ,FUENTES,permiso,feriado,,
SEGUNDA,2022-01-14,LLANOS,BIEL,MERA,AMUNITA,ATAVOLARI,comisi ón,feriado,subroga,
TERCERA,2022-01-14,MU,MATUS,VAZQUEZ,ALCALDE,AGUILA,permiso,feriado,,
CUARTA,2022-01-14,ACHEVESICH,AMU,CONTRERAS,ACOPPO,AETCHEBERRY,,,,
PRIMERA,2022-01-18,SILVA,SILVA,AREPETTO,MU,GOMEZ,feriado,,,
SEGUNDA,2022-01-18,ALETELIER,MATUS,BIEL,MERA,VAZQUEZ,permiso,feriado,,
TERCERA,2022-01-18,MU,AVIVANCO,CARROZA,ATAVOLARI,A,subroga,,,
CUARTA,2022-01-18,ACHEVESICH,AMU,CONTRERAS,MUNITA,RUZ,,,,
PRIMERA,2022-01-19,SILVA,AEGNEM,, SILVA,AREPETTO,,,,
SEGUNDA,2022-01-19,DAHM,LLANOS,BIEL,, MUNITA,subroga,,,
TERCERA,2022-01-19,MU,AVIVANCO,CARROZA,MATUS,MERA,,,,
CUARTA,2022-01-19,BLANCO,ACHEVESICH,A,LETELIER,RUZ,,,,
PRIMERA,2022-01-20,SILVA,AEGNEM,, SILVA,AREPETTO,,,,
SEGUNDA,2022-01-20,DAHM,ALETELIER,BIEL,A,,subroga,,,
TERCERA,2022-01-20,AVIVANCO,CARROZA,MATUS,MERA,,permiso,,,
CUARTA,2022-01-20,BLANCO,ACHEVESICH,A,ACOPPO,FUENTES,,,,
CUARTA,2022-01-21,BLANCO,AMU,, MERA,MUNITA,,,,
TERCERA,2022-01-21,MU,AVIVANCO,CARROZA,, MATUS,,,,
SEGUNDA,2022-01-21,DAHM,LLANOS,ALETELIER,BIEL,,subroga,,,
PRIMERA,2022-01-21,SILVA,AEGNEM,, SILVA,AREPETTO,,,,
SEGUNDA,2022-01-24,DAHM,A,MERA,VASQUEZ,A,subroga,,,
TERCERA,2022-01-24,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
PRIMERA,2022-01-25,SILVA,, SILVA,AREPETTO,MU,,,,
SEGUNDA,2022-01-25,DAHM,A,BIEL,MERA,VASQUEZ,,,,
TERCERA,2022-01-25,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
CUARTA,2022-01-25,BLANCO,A,AMU,AGAJARDO,,,,,
PRIMERA,2022-01-26,SILVA,, SILVA,AREPETTO,MATUS,subroga,,,
SEGUNDA,2022-01-26,DAHM,A,BIEL,MERA,VASQUEZ,,,,
TERCERA,2022-01-26,MU,AVIVANCO,MU,HUMERES,AGUILA,subroga,,,
CUARTA,2022-01-26,BLANCO,A,AMU,AGAJARDO,CONTRERAS,,,,
PRIMERA,2022-01-27,SILVA,, SILVA,MU,GOMEZ,feriado,,,
SEGUNDA,2022-01-27,DAHM,BIEL,MERA,VASQUEZ,ETCHEBERRY,feriado,,,
TERCERA,2022-01-27,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
PRIMERA,2022-01-28,SILVA,, SILVA,MU,GOMEZ,feriado,,,
SEGUNDA,2022-01-28,DAHM,MERA,VASQUEZ,A,AETCHEBERRY,feriado,,,
TERCERA,2022-01-28,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
CUARTA,2022-01-28,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
CUARTA,2022-02-01,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-01,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-01,BRITO,A,BIEL,, MERA,,,,
PRIMERA,2022-02-01,SILVA,, PRADO,SILVA,AREPETTO,,,,
TERCERA,2022-02-03,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-03,BRITO,, VALDERRAMA,ALETELIER,BIEL,subroga,,,
PRIMERA,2022-02-03,SILVA,, PRADO,SILVA,AREPETTO,,,,
CUARTA,2022-02-04,BLANCO,A,A,AGAJARDO,CONTRERAS,,,,
TERCERA,2022-02-04,MU,AVIVANCO,ARAVANALES,, CARROZA,,,,
SEGUNDA,2022-02-04,BRITO,, VALDERRAMA,ALETELIER,BIEL,,,,
