Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
CUARTA,2022-01-04,AMUÑOZ,MATUS,CONTRERAS,MUNITA,ACOPPO,feriado,,,
TERCERA,2022-01-04,MUÑOZ,CARROZA,VAZQUEZ,ALCALDE,HUMERES,,,,
SEGUNDA,2022-01-04,LLANOS,ALETELIER,BIEL,MERA,ATAVOLARI,feriado,subroga,,
CUARTA,2022-01-05,AMUÑOZ,MERA,CONTRERAS,FUENTES,AETCHEBERRY,feriado,,,
TERCERA,2022-01-05,CARROZA,ALETELIER,MATUS,ACOPPO,BENAVIDES,feriado,,,
SEGUNDA,2022-01-05,LLANOS,GOMEZ,VAZQUEZ,ATAVOLARI,ABUAUAD,feriado,,,
PRIMERA,2022-01-05,AREPETTO,BIEL,MUÑOZ,MUNITA,HUMERES,permiso,feriado,subroga,
CUARTA,2022-01-06,AMUÑOZ,GOMEZ,CONTRERAS,ALCALDE,FUENTES,feriado,,,
TERCERA,2022-01-06,MUÑOZ,CARROZA,MERA,ACOPPO,RUZ,feriado,,,
SEGUNDA,2022-01-06,ALETELIER,BIEL,VAZQUEZ,AGAJARDO,ATAVOLARI,feriado,,,
PRIMERA,2022-01-06,SILVA,SILVA,AREPETTO,MUÑOZ,MUNITA,feriado,subroga,,
CUARTA,2022-01-07,ACHEVESICH,AMUÑOZ,GOMEZ,CONTRERAS,AETCHEBERRY,,,,
TERCERA,2022-01-07,MUÑOZ,CARROZA,ALETELIER,MATUS,ACOPPO,,,,
SEGUNDA,2022-01-07,LLANOS,BIEL,MERA,VAZQUEZ,AGAJARDO,feriado,,,
CUARTA,2022-01-12,ACHEVESICH,AMUÑOZ,CONTRERAS,AGAJARDO,AETCHEBERRY,,,,
TERCERA,2022-01-12,MUÑOZ,CARROZA,MATUS,MUNITA,AGUILA,feriado,,,
SEGUNDA,2022-01-12,LLANOS,BIEL,MERA,VAZQUEZ,ATAVOLARI,comisi ón,feriado,,
PRIMERA,2022-01-12,SILVA,SILVA,MUÑOZ,GOMEZ,FUENTES,permiso,feriado,,
PRIMERA,2022-01-17,SILVA,SILVA,AREPETTO,GOMEZ,MERA,feriado,subroga,,
SEGUNDA,2022-01-17,ALETELIER,BIEL,MUÑOZ,VAZQUEZ,ATAVOLARI,permiso,feriado,,
TERCERA,2022-01-17,MUÑOZ,AVIVANCO,CARROZA,MATUS,ABENAVIDES,,,,
CUARTA,2022-01-17,ACHEVESICH,AMUÑOZ,CONTRERAS,RUZ,AETCHEBERRY,,,,
PRIMERA,2022-01-10,SILVA,SILVA,AREPETTO,GOMEZ,ALCALDE,feriado,,,
SEGUNDA,2022-01-10,LLANOS,BIEL,VAZQUEZ,MUNITA,RUZ,comisi ón,feriado,,
TERCERA,2022-01-10,MUÑOZ,MATUS,MUÑOZ,MERA,AGUILA,permiso,feriado,,
CUARTA,2022-01-10,ACHEVESICH,AMUÑOZ,CONTRERAS,AGAJARDO,ACOPPO,,,,
PRIMERA,2022-01-11,SILVA,SILVA,AREPETTO,MUÑOZ,GOMEZ,feriado,,,
SEGUNDA,2022-01-11,LLANOS,MERA,VAZQUEZ,AGAJARDO,ATAVOLARI,comisi ón,feriado,,
