Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
TERCERA,2022-01-18,MUÑOZ,AVIVANCO,CARROZA,ATAVOLARI,A,subroga,,,
CUARTA,2022-01-10,ACHEVESICH,AMUÑOZ,CONTRERAS,AGAJARDO,ACOPPO,,,,
SEGUNDA,2022-01-07,LLANOS,BIEL,MERA,VAZQUEZ,AGAJARDO,feriado,,,
PRIMERA,2022-01-24,SILVA,AEGNEM,, SILVA,AREPETTO,,,,
CUARTA,2022-01-18,ACHEVESICH,AMUÑOZ,CONTRERAS,MUNITA,RUZ,,,,
TERCERA,2022-01-10,MUÑOZ,MATUS,MUÑOZ,MERA,AGUILA,permiso,feriado,,
CUARTA,2022-01-07,ACHEVESICH,AMUÑOZ,GOMEZ,CONTRERAS,AETCHEBERRY,,,,
PRIMERA,2022-01-25,SILVA,, SILVA,AREPETTO,MUÑOZ,,,,
CUARTA,2022-01-25,BLANCO,A,AMUÑOZ,AGAJARDO,,,,,
SEGUNDA,2022-01-28,DAHM,MERA,VASQUEZ,A,AETCHEBERRY,feriado,,,
SEGUNDA,2022-01-24,DAHM,A,MERA,VASQUEZ,A,subroga,,,
CUARTA,2022-01-06,AMUÑOZ,GOMEZ,CONTRERAS,ALCALDE,FUENTES,feriado,,,
TERCERA,2022-01-07,MUÑOZ,CARROZA,ALETELIER,MATUS,ACOPPO,,,,
PRIMERA,2022-01-17,SILVA,SILVA,AREPETTO,GOMEZ,MERA,feriado,subroga,,
SEGUNDA,2022-01-18,ALETELIER,MATUS,BIEL,MERA,VAZQUEZ,permiso,feriado,,
TERCERA,2022-01-24,MUÑOZ,AVIVANCO,ARAVANALES,, CARROZA,,,,
PRIMERA,2022-01-28,SILVA,, SILVA,MUÑOZ,GOMEZ,feriado,,,
PRIMERA,2022-01-10,SILVA,SILVA,AREPETTO,GOMEZ,ALCALDE,feriado,,,
SEGUNDA,2022-01-25,DAHM,A,BIEL,MERA,VASQUEZ,,,,
PRIMERA,2022-01-07,SILVA,SILVA,AREPETTO,MUÑOZ,MUNITA,feriado,subroga,,
SEGUNDA,2022-01-10,LLANOS,BIEL,VAZQUEZ,MUNITA,RUZ,comisi ón,feriado,,
TERCERA,2022-01-25,MUÑOZ,AVIVANCO,ARAVANALES,, CARROZA,,,,
TERCERA,2022-01-28,MUÑOZ,AVIVANCO,ARAVANALES,, CARROZA,,,,
PRIMERA,2022-01-18,SILVA,SILVA,AREPETTO,MUÑOZ,GOMEZ,feriado,,,
